model,accuracy,confusion_matrix,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
LightGBM,0.7892,"[[3927, 1073], [1035, 3965]]",0.7914147521160823,0.7854,0.78839590443686,5000.0,0.7870186581976975,0.793,0.7899980075712293,5000.0,0.7892167051568899,0.7892,0.7891969560040446,10000.0,0.7892167051568898,0.7892,0.7891969560040447,10000.0
RandomForest,0.7971,"[[4016, 984], [1045, 3955]]",0.7935190673779885,0.8032,0.7983301858662161,5000.0,0.800769386515489,0.791,0.7958547137538988,5000.0,0.7971442269467388,0.7971,0.7970924498100574,10000.0,0.7971442269467388,0.7971,0.7970924498100574,10000.0
LogisticRegression,0.7973,"[[3995, 1005], [1022, 3978]]",0.7962926051425154,0.799,0.797644005191175,5000.0,0.798314268512944,0.7956,0.796954823199439,5000.0,0.7973034368277296,0.7973,0.7972994141953069,10000.0,0.7973034368277298,0.7973,0.7972994141953069,10000.0
SVC,0.7986,"[[4030, 970], [1044, 3956]]",0.7942451714623571,0.806,0.8000794123486202,5000.0,0.8030856678846935,0.7912,0.7970985291154543,5000.0,0.7986654196735252,0.7986,0.7985889707320373,10000.0,0.7986654196735253,0.7986,0.7985889707320373,10000.0
KNN,0.7276,"[[3469, 1531], [1193, 3807]]",0.7441012441012441,0.6938,0.7180707927965224,5000.0,0.7131884600974148,0.7614,0.7365060940220546,5000.0,0.7286448520993294,0.7276,0.7272884434092886,10000.0,0.7286448520993294,0.7276,0.7272884434092884,10000.0
GradientBoosting,0.8043,"[[4027, 973], [984, 4016]]",0.8036320095789263,0.8054,0.8045150334631905,5000.0,0.8049709360593306,0.8032,0.8040844929422365,5000.0,0.8043014728191284,0.8043,0.8042997632027136,10000.0,0.8043014728191284,0.8043,0.8042997632027135,10000.0
XGBoost,0.8024,"[[4017, 983], [993, 4007]]",0.8017964071856287,0.8034,0.8025974025974026,5000.0,0.8030060120240481,0.8014,0.8022022022022022,5000.0,0.8024012096048384,0.8024,0.8023998023998025,10000.0,0.8024012096048384,0.8024,0.8023998023998025,10000.0
CatBoost,0.8099,"[[4060, 940], [961, 4039]]",0.808603863772157,0.812,0.8102983734158268,5000.0,0.8112070696927094,0.8078,0.809499949894779,5000.0,0.8099054667324332,0.8099000000000001,0.8098991616553028,10000.0,0.8099054667324331,0.8099,0.8098991616553028,10000.0
DNN_Keras,0.7952,"[[4025, 975], [1073, 3927]]",0.7895253040408003,0.805,0.7971875618934442,5000.0,0.8011015911872705,0.7854,0.7931730963441729,5000.0,0.7953134476140354,0.7952,0.7951803291188085,10000.0,0.7953134476140354,0.7952,0.7951803291188085,10000.0
LSTM_Keras,0.8002,"[[3996, 1004], [994, 4006]]",0.8008016032064128,0.7992,0.8,5000.0,0.7996007984031936,0.8012,0.8003996003996005,5000.0,0.8002012008048032,0.8002,0.8001998001998003,10000.0,0.8002012008048032,0.8002,0.8001998001998002,10000.0
