feature,importance
tl_weighted_damage_diff,0.07894207
tl_p1_defensive_endurance,0.074172765
tl_p2_inflicted_frz_count,0.0297107
tl_p1_inflicted_slp_count,0.026843634
tl_p1_inflicted_frz_count,0.02201361
tl_p1_inflicted_par_count,0.020546969
tl_p2_inflicted_slp_count,0.018084642
tl_last5_damage_diff,0.016893864
tl_p1_move_type_poison_count,0.015723241
damage_per_turn_diff,0.014918531
tl_p2_inflicted_par_count,0.014592629
p2_lead_type_psychic,0.01331651
tl_p1_move_type_fire_count,0.012222877
tl_p2_last_hp,0.01033541
tl_move_type_fighting_count_diff,0.0097995605
lead_speed_advantage,0.0094185835
tl_p2_damage_vs_p1_hp_pool,0.009256654
p1_base_hp_max,0.00892296
p2_lead_type_water,0.008915482
tl_move_type_psychic_count_diff,0.008810574
lead_diff_base_spe,0.00880807
tl_move_type_ghost_count_diff,0.008675082
p1_type_psychic_count,0.008665575
p2_lead_base_def,0.008474542
tl_p1_last_hp,0.008326637
lead_diff_base_hp,0.008200095
tl_p1_move_type_ghost_count,0.0081089595
p1_type_normal_count,0.0081031285
tl_move_type_fire_count_diff,0.007986082
p1_spe_p50,0.0078393575
p1_base_atk_max,0.0074008596
tl_p1_move_type_normal_count,0.007338796
tl_p2_move_type_poison_count,0.007149797
tl_p2_move_type_psychic_count,0.0070789806
tl_p2_move_type_fire_count,0.0070509594
tl_p2_inflicted_tox_count,0.006981839
tl_move_type_ice_count_diff,0.006969525
p1_base_spd_max,0.0068644774
p1_base_spe_sum,0.0068620336
tl_move_type_normal_count_diff,0.006799825
tl_move_type_flying_count_diff,0.006605042
p1_base_atk_mean,0.006603688
p1_base_spd_std,0.0065945457
tl_p1_move_type_psychic_count,0.006559136
tl_p1_move_type_fighting_count,0.0065272395
tl_p1_move_type_water_count,0.006512767
tl_p2_move_type_ice_count,0.0064270664
p2_lead_base_hp,0.006395276
p1_base_def_max,0.0063932175
p1_vs_lead_avg_effectiveness,0.0062767896
tl_p2_move_type_fighting_count,0.00612474
