feature,importance
damage_diff,0.9910194
tl_p2_moves,0.4112347
tl_inflicted_par_diff,0.33327448
tl_p1_moves,0.2907035
tl_p2_inflicted_slp_count,0.27693677
tl_p2_last_hp,0.25007474
tl_p1_last_hp,0.23849514
tl_p1_inflicted_slp_count,0.23532729
tl_inflicted_frz_diff,0.17319483
tl_p1_inflicted_par_count,0.1605703
tl_p2_est_damage,0.12907861
team_spa_mean_minus_p2spa,0.12747324
tl_p1_est_damage,0.1249417
tl_p2_damage_vs_p1_hp_pool,0.11453708
tl_inflicted_slp_diff,0.108568065
damage_per_turn_diff,0.10783965
tl_p1_defensive_endurance,0.10727933
p1_base_atk_sum,0.08010019
speed_advantage,0.07558337
tl_p1_inflicted_frz_count,0.0709112
tl_p2_inflicted_par_count,0.07041275
p1_base_spa_std,0.069949165
lead_diff_base_spa,0.06856646
p1_base_hp_std,0.06669124
p1_base_hp_sum,0.06093846
team_hp_sum_minus_p2lead_hp,0.060475275
p1_base_def_std,0.05636069
p1_type_psychic_count,0.05543288
p1_base_spe_std,0.05399141
p2_lead_type_psychic,0.052611552
lead_diff_base_def,0.0522279
lead_diff_base_hp,0.050467156
p1_base_spe_sum,0.050319355
p1_base_spa_sum,0.04875417
p1_base_atk_std,0.048461962
p1_lead_name,0.047156304
p1_type_normal_count,0.04263381
p1_se_options_vs_lead_bulk,0.04178233
p1_base_def_sum,0.04124569
lead_diff_base_spe,0.039310224
p2_lead_name,0.03750849
p1_type_ice_count,0.03614008
tl_p2_inflicted_frz_count,0.032759268
lead_diff_base_atk,0.032427832
p1_vs_lead_avg_effectiveness,0.030775983
p2_lead_base_spe,0.030274795
p1_base_spe_max,0.02867845
p1_base_def_max,0.024623351
p1_n_unique_types,0.022838892
p1_type_water_count,0.022318237
tl_p2_inflicted_tox_count,0.020501878
p1_base_spa_min,0.015696952
p2_lead_base_hp,0.014290188
lead_p1_vs_p2_effectiveness,0.011873948
p2_lead_base_atk,0.010831205
p1_type_electric_count,0.010094794
p1_base_atk_max,0.009979402
p1_base_hp_min,0.009629086
p1_base_spa_max,0.008421085
p2_lead_type_ice,0.008118437
p1_type_grass_count,0.008016214
p2_lead_type_water,0.007857972
tl_inflicted_brn_diff,0.007304313
tl_p2_inflicted_brn_count,0.0062989104
tl_p1_inflicted_tox_count,0.006158776
p2_lead_base_def,0.005201578
p1_type_flying_count,0.004761589
p1_base_spe_min,0.0047362917
p2_lead_base_spa,0.0045035095
p1_vs_lead_max_effectiveness,0.0042706123
tl_p1_inflicted_psn_count,0.0041785534
p2_lead_type_electric,0.00369753
p1_base_atk_min,0.0023448456
p1_type_rock_count,0.0021225275
tl_inflicted_tox_diff,0.0019094534
p2_lead_type_normal,0.0017806832
tl_p2_inflicted_psn_count,0.0015907099
tl_p1_inflicted_brn_count,0.0015468175
p1_type_fire_count,0.0014878798
p2_lead_type_grass,0.0007589004
p1_super_effective_options,0.00073855754
p2_lead_type_flying,0.00024431507
p1_base_def_min,0.00022952519
p1_base_hp_max,0.0
p1_base_hp_mean,0.0
p1_base_spe_mean,0.0
p1_base_spd_std,0.0
p1_base_atk_mean,0.0
p1_base_spa_mean,0.0
p1_base_spd_min,0.0
p1_base_def_mean,0.0
p1_type_ground_count,0.0
p1_type_dragon_count,0.0
p1_n_unique_names,0.0
p1_base_spd_max,0.0
p1_base_spd_sum,0.0
p1_base_spd_mean,0.0
p1_level_mean,0.0
p1_level_sum,0.0
p1_ability_volt_absorb_count,0.0
p1_ability_levitate_count,0.0
p2_lead_type_rock,0.0
p2_lead_type_ground,0.0
p2_lead_type_dragon,0.0
p2_lead_level,0.0
p2_lead_type_fire,0.0
p2_lead_base_spd,0.0
fainted_diff,0.0
p2_lead_ability_water_absorb_count,0.0
p1_ability_intimidate_count,0.0
"p1_ability_{'drought': 0, 'drizzle': 0, 'sand_stream': 0}_count",0.0
lead_diff_base_spd,0.0
lead_speed_advantage,0.0
p2_lead_ability_levitate_count,0.0
p2_lead_ability_volt_absorb_count,0.0
p1_ability_flash_fire_count,0.0
p1_ability_water_absorb_count,0.0
p2_lead_ability_intimidate_count,0.0
p2_lead_ability_flash_fire_count,0.0
"p2_lead_ability_{'drought': 0, 'drizzle': 0, 'sand_stream': 0}_count",0.0
p2_lead_total_immunity_abilities,0.0
p2_lead_total_stat_drop_abilities,0.0
p1_intimidate_vs_lead,0.0
p1_total_immunity_abilities,0.0
p1_total_stat_drop_abilities,0.0
tl_p2_comeback_kos,0.0
tl_comeback_kos_diff,0.0
tl_p1_comeback_kos,0.0
tl_inflicted_psn_diff,0.0
last_pair,0.0
n_unique_types_diff,0.0
