feature,mean
tl_p1_inflicted_frz_count,0.009906401548901572
tl_p1_inflicted_frz_rate,0.009906401548901546
p2_lead_base_spe,0.009239513900726061
tl_p1_move_type_ghost_count,0.009157591142728037
tl_inflicted_frz_rate_diff,0.008786017134709823
tl_inflicted_frz_diff,0.008786017134709816
tl_p1_damage_last5,0.008404255823408147
tl_p1_move_type_rock_count,0.007685627775983998
tl_p1_defensive_endurance,0.007492681012408925
p1_base_hp_std,0.0070617266953182985
p2_lead_type_ground,0.006999918811104265
p2_lead_type_rock,0.006999918811104265
p1_base_hp_max,0.00667607394194211
team_hp_sum_minus_p2lead_hp,0.0065820673485090485
tl_p1_move_type_ice_count,0.006505744495160304
tl_move_type_ice_count_diff,0.006433047997917685
tl_p2_move_type_rock_count,0.006360345506213721
p1_type_normal_count,0.006317348428755012
tl_move_type_ghost_count_diff,0.006228158221666443
lead_diff_base_hp,0.006202831692978853
tl_p2_move_type_fire_count,0.006102900030030988
tl_p2_move_type_ground_count,0.006014998345863548
p1_base_hp_sum,0.005832499196935123
p1_base_hp_mean,0.005832499196934892
tl_p1_damage_per_turn,0.005828149014484803
tl_p1_est_damage,0.00582814901448452
tl_damage_adv_sign_flips,0.005823393331993071
p1_base_atk_std,0.0057124998990285124
tl_p2_inflicted_brn_rate,0.005468396962763476
tl_p2_inflicted_brn_count,0.005468396962763474
p2_lead_type_flying,0.005331097248888786
p2_lead_level,0.005303831268547981
tl_move_type_psychic_count_diff,0.005298259254300204
p1_level_sum,0.005201628596335207
p1_level_mean,0.005201628596312156
tl_damage_rate_diff,0.004709673799616405
damage_diff,0.0047096737996163195
tl_last5_damage_diff,0.004547883452334491
tl_p1_inflicted_slp_rate,0.004401612931519533
tl_p1_inflicted_slp_count,0.004401612931519523
p2_lead_type_water,0.004162730517163528
tl_weighted_damage_diff,0.004098239550735108
tl_p1_last_hp,0.004066766014168014
tl_inflicted_slp_diff,0.0038777029254553476
tl_inflicted_slp_rate_diff,0.003877702925455339
p1_base_def_std,0.0038511208355189066
p1_base_hp_min,0.0035112055900656768
tl_p1_move_type_electric_count,0.0032974951578879767
tl_p1_moves,0.003131309352672664
tl_p1_moves_rate,0.0031313093526715114
tl_p2_last5_damage_ratio,0.002684696791181198
p1_spe_p25,0.0024224395859469357
tl_p1_inflicted_brn_rate,0.002354834819049682
tl_p1_inflicted_brn_count,0.002354834819049682
tl_p1_last5_damage_ratio,0.002354419975130428
tl_p2_move_type_poison_count,0.0023236045464269136
tl_p1_damage_first2,0.002283761947228373
tl_first2_damage_diff,0.0022206315300674333
p2_lead_type_psychic,0.0021776307062232564
tl_p2_move_type_electric_count,0.0020519953240801083
p2_lead_type_dragon,0.0020436953599792355
p1_base_spa_min,0.0019449762585660904
p1_base_spd_min,0.0019449762585660904
tl_p2_move_type_water_count,0.0018498597464172881
tl_p1_move_type_psychic_count,0.0018064365279545943
tl_p2_inflicted_tox_count,0.0017803272767019423
tl_p2_inflicted_tox_rate,0.0017803272767019423
lead_diff_base_spa,0.001747560677797468
lead_diff_base_spd,0.001747560677797468
p2_lead_type_electric,0.001571076010002512
p2_lead_base_def,0.0015529885209129288
team_spa_mean_minus_p2spa,0.0012262200659768864
tl_p2_inflicted_psn_rate,0.0012187728902927483
tl_p2_inflicted_psn_count,0.0012187728902927273
p1_base_spe_min,0.001174782251873838
tl_p1_move_type_fire_count,0.0011472963719025584
damage_per_turn_diff,0.0011112288768131192
tl_p2_damage_last5,0.0010990487112333893
tl_p2_last_hp,-0.0010270071345748143
p1_base_spa_std,-0.0011490112404299966
p1_base_spd_std,-0.0011490112404299966
p1_type_rock_count,-0.0011757787480697203
p1_type_ground_count,-0.0011757787480697203
p2_lead_base_spd,-0.0013147592016799952
p2_lead_base_spa,-0.0013147592016799952
tl_move_type_water_count_diff,-0.0013803149547800743
p1_type_dragon_count,-0.0014310995801806144
tl_p2_inflicted_slp_rate,-0.0014912225195276596
tl_p2_inflicted_slp_count,-0.0014912225195283036
tl_p2_damage_per_turn,-0.0015483530637851921
tl_p2_est_damage,-0.0015483530637854313
tl_p2_move_type_fighting_count,-0.0017055707547025934
p1_spe_p75,-0.0018468207651128102
p2_lead_type_ice,-0.0018750000000000006
p1_type_water_count,-0.0018888529877251843
tl_p2_inflicted_par_count,-0.00196966805665906
tl_p2_inflicted_par_rate,-0.0019696680566591218
lead_diff_base_def,-0.002225035949300897
tl_inflicted_brn_rate_diff,-0.0022423359696562557
tl_inflicted_brn_diff,-0.002242335969656267
lead_p1_vs_p2_effectiveness,-0.002280846228795701
p1_se_options_vs_lead_bulk,-0.002351666030453902
p1_super_effective_options,-0.0024096789554970775
p1_vs_lead_max_effectiveness,-0.0026297600853754247
tl_p2_move_type_flying_count,-0.0026753066655380363
p1_base_spa_max,-0.0027343309579385667
p1_base_spd_max,-0.0027343309579385667
tl_p2_damage_vs_p1_hp_pool,-0.002903025003465656
tl_p2_move_type_ice_count,-0.002936558198670326
