feature,importance
p2_late_game_hp_avg,511
tl_weighted_damage_diff,465
p1_late_game_hp_avg,456
tl_p1_est_damage,446
tl_p2_last_hp,428
early_pressure_diff,418
late_game_hp_advantage,410
tl_last5_damage_ratio_diff,389
tl_last5_damage_diff,386
tl_p2_damage_vs_p1_hp_pool,377
tl_p1_last_hp,376
tl_p2_last5_damage_ratio,372
p1_momentum_intercept,369
p1_advantage_range,351
damage_diff,347
damage_per_turn_diff,345
p2_early_pressure,341
tl_p2_damage_last5,340
p1_advantage_volatility,337
p1_early_pressure,326
team_spa_mean_minus_p2spa,320
p1_momentum_slope,317
tl_p1_defensive_endurance,316
tl_p1_last5_damage_ratio,316
p1_stat_product_advantage,310
p1_max_advantage,305
p1_min_advantage,292
p1_avg_bulk_vs_lead,291
p1_offense_advantage,284
p1_final_advantage,278
tl_p1_moves,277
tl_p1_damage_last5,277
p1_avg_stat_product,258
tl_p2_est_damage,257
p2_tl_unique_pokemon_seen,247
p1_base_hp_std,243
p1_tl_coverage_score,231
p1_base_spa_std,229
tl_inflicted_par_diff,229
tl_move_type_psychic_count_diff,224
p1_base_atk_std,221
p1_base_spe_std,210
tl_move_type_ice_count_diff,205
p1_base_def_std,205
tl_damage_rate_diff,200
tl_move_type_normal_count_diff,190
tl_p1_damage_per_turn,184
tl_p2_move_type_normal_count,180
speed_advantage,179
p2_tl_coverage_score,177
p1_base_hp_sum,167
tl_move_type_electric_count_diff,155
tl_p1_move_type_psychic_count,153
team_hp_sum_minus_p2lead_hp,153
tl_p2_damage_per_turn,153
tl_p2_move_type_psychic_count,149
tl_p1_move_type_normal_count,149
p1_base_def_sum,146
tl_p2_moves,131
p1_total_offense,128
lead_diff_base_spe,120
p2_tl_unique_moves_used,120
p1_base_atk_sum,119
tl_move_type_fighting_count_diff,119
tl_p1_inflicted_par_count,115
tl_p2_move_type_ice_count,114
tl_p1_move_type_electric_count,112
lead_diff_base_spa,110
p1_base_spe_sum,106
tl_p1_inflicted_slp_count,106
p1_tl_unique_moves_used,105
tl_p1_moves_rate,104
p2_tl_switches_count,104
p1_base_spa_sum,103
p1_base_spd_std,103
tl_p2_inflicted_slp_count,101
lead_diff_base_hp,97
tl_inflicted_slp_diff,97
tl_move_type_grass_count_diff,89
tl_p2_move_type_electric_count,83
tl_first2_damage_diff,83
tl_p2_inflicted_par_count,82
tl_damage_adv_sign_flips,79
tl_inflicted_par_rate_diff,78
lead_diff_base_def,78
tl_p2_damage_first2,77
tl_p1_move_type_ice_count,74
tl_p2_move_type_fighting_count,73
p1_type_entropy,71
tl_p2_move_type_grass_count,70
tl_inflicted_frz_diff,61
tl_move_type_ghost_count_diff,61
tl_p1_move_type_fighting_count,60
p1_base_atk_mean,60
p1_base_hp_mean,57
tl_move_type_ground_count_diff,57
momentum_swings,56
tl_p1_damage_first2,56
p1_base_spe_mean,54
tl_p2_moves_rate,51
lead_diff_base_atk,51
p1_base_def_mean,48
lead_speed_advantage,48
p1_spe_p25,47
p1_base_spa_mean,47
lead_diff_base_spd,46
p1_spe_p50,45
p1_spe_p75,43
tl_move_type_water_count_diff,41
tl_p1_inflicted_par_rate,41
p2_tl_unique_move_types,38
tl_p2_inflicted_slp_rate,38
p2_tl_switch_rate,37
p1_max_stat_product,37
tl_inflicted_frz_rate_diff,36
tl_p1_inflicted_slp_rate,36
tl_move_type_fire_count_diff,35
p2_lead_base_spe,35
tl_inflicted_slp_rate_diff,35
tl_p1_move_type_grass_count,35
tl_p2_inflicted_par_rate,35
tl_p1_inflicted_frz_count,33
p1_base_def_max,32
p1_type_psychic_count,31
tl_move_type_flying_count_diff,31
p2_lead_type_psychic,30
p1_se_options_vs_lead_bulk,29
tl_p2_move_type_water_count,28
p1_type_ice_count,27
p1_base_spd_sum,27
tl_p1_move_type_ghost_count,26
tl_p2_inflicted_frz_count,25
p1_tl_unique_move_types,25
p2_lead_base_spa,24
tl_p2_move_type_ground_count,24
p1_avg_effectiveness_vs_lead,23
tl_p2_move_type_fire_count,21
p1_type_normal_count,20
tl_p1_move_type_ground_count,19
p2_lead_base_atk,18
tl_p1_move_type_water_count,17
momentum_stability,17
p1_n_unique_types,17
tl_p1_inflicted_frz_rate,16
p1_speed_tier_advantage,15
p1_setup_moves_count,15
lead_p1_vs_p2_effectiveness,14
p1_vs_lead_avg_effectiveness,14
p1_faster_than_lead_count,13
p2_lead_base_def,12
p1_type_water_count,12
p2_lead_base_hp,11
tl_p2_inflicted_frz_rate,10
p1_weak_count_vs_lead,10
tl_move_type_poison_count_diff,10
p1_base_hp_min,10
n_unique_types_diff,9
tl_p2_move_type_ghost_count,9
tl_p2_inflicted_tox_count,9
tl_p1_move_type_fire_count,9
p1_much_slower_than_lead,8
tl_p2_move_type_flying_count,7
tl_inflicted_tox_diff,7
p2_lead_type_water,7
tl_comeback_flag,6
tl_move_type_rock_count_diff,6
tl_p1_move_type_flying_count,6
p1_base_spa_min,6
p1_se_count_vs_lead,5
p1_much_faster_than_lead,5
p1_base_atk_max,5
p1_slower_than_lead_count,5
p1_base_spe_max,5
p1_base_spd_max,5
p1_type_electric_count,5
p2_lead_type_flying,5
p1_base_spa_max,4
tl_p1_move_type_rock_count,4
p2_lead_base_spd,4
p1_base_spd_min,4
p1_speed_control_ratio,3
p1_type_grass_count,3
p1_wall_count,3
p1_sweep_potential,3
tl_p1_move_type_poison_count,3
p1_type_flying_count,3
p2_lead_type_electric,2
p2_lead_type_normal,2
p1_switch_efficiency,2
p1_base_spe_min,2
p1_base_spd_mean,2
p1_type_coverage_breadth,2
p1_max_effectiveness_vs_lead,1
p1_super_effective_options,1
tl_p2_move_type_rock_count,1
tl_p1_inflicted_tox_rate,1
tl_p2_inflicted_tox_rate,1
p1_type_dragon_count,1
p1_type_rock_count,1
p1_vs_lead_max_effectiveness,1
tl_p2_move_type_poison_count,1
p1_base_def_min,0
p1_base_atk_min,0
fainted_diff,0
p2_lead_ability_water_absorb_count,0
tl_p2_fainted_rate,0
tl_p1_fainted_rate,0
tl_p1_comeback_kos,0
tl_p1_inflicted_brn_count,0
tl_turns_count,0
tl_comeback_kos_diff,0
tl_p2_comeback_kos,0
tl_p1_inflicted_psn_count,0
tl_inflicted_brn_diff,0
tl_p2_inflicted_brn_count,0
tl_move_type_dragon_count_diff,0
p1_base_hp_max,0
tl_inflicted_psn_diff,0
tl_p1_inflicted_tox_count,0
tl_p2_inflicted_psn_count,0
tl_p2_move_type_bug_count,0
tl_p1_move_type_bug_count,0
tl_move_type_bug_count_diff,0
tl_p1_fainted,0
tl_p2_fainted,0
tl_p2_move_type_dragon_count,0
p1_likely_crits,0
tl_p1_move_type_dragon_count,0
tl_p2_inflicted_psn_rate,0
tl_inflicted_psn_rate_diff,0
tl_inflicted_brn_rate_diff,0
tl_p1_inflicted_psn_rate,0
tl_p2_inflicted_brn_rate,0
tl_p1_inflicted_brn_rate,0
tl_kos_early_p2,0
tl_kos_late_p2,0
tl_first_ko_turn_diff,0
tl_first_ko_turn_p1_taken,0
tl_kos_late_p1,0
tl_kos_early_p1,0
tl_first_ko_turn_p1_inflicted,0
p1_intimidate_vs_lead,0
p2_lead_total_immunity_abilities,0
p2_lead_total_stat_drop_abilities,0
p2_lead_ability_volt_absorb_count,0
p2_lead_ability_levitate_count,0
p2_lead_ability_sand_stream_count,0
p2_lead_ability_drizzle_count,0
p2_lead_ability_drought_count,0
p2_lead_ability_intimidate_count,0
p2_lead_ability_flash_fire_count,0
tl_inflicted_tox_rate_diff,0
p1_ability_water_absorb_count,0
p1_ability_flash_fire_count,0
p1_ability_intimidate_count,0
p1_ability_drought_count,0
p1_tl_status_moves,0
p1_tl_stab_moves,0
p1_tl_physical_moves,0
p1_tl_special_moves,0
p2_lead_type_fire,0
p2_tl_unique_types_seen,0
p2_tl_type_entropy,0
p2_lead_level,0
p2_tl_special_moves,0
p2_tl_status_moves,0
p2_tl_offensive_ratio,0
