model,accuracy,confusion_matrix,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
LightGBM,0.7875,"[[3931, 1069], [1056, 3944]]",0.7882494485662723,0.7862,0.7872233904075298,5000.0,0.786754438460004,0.7888,0.7877758913412564,5000.0,0.7875019435131382,0.7875,0.7874996408743931,10000.0,0.7875019435131382,0.7875,0.7874996408743932,10000.0
RandomForest,0.7981,"[[4006, 994], [1025, 3975]]",0.7962631683561916,0.8012,0.7987239557372147,5000.0,0.7999597504528074,0.795,0.7974721637074932,5000.0,0.7981114594044996,0.7981,0.7980980597223539,10000.0,0.7981114594044995,0.7981,0.7980980597223539,10000.0
LogisticRegression,0.7979,"[[4000, 1000], [1021, 3979]]",0.7966540529774945,0.8,0.7983235206067258,5000.0,0.7991564571199036,0.7958,0.7974746968634132,5000.0,0.797905255048699,0.7979,0.7978991087350695,10000.0,0.797905255048699,0.7979,0.7978991087350695,10000.0
SVC,0.798,"[[4020, 980], [1040, 3960]]",0.7944664031620553,0.804,0.7992047713717694,5000.0,0.8016194331983806,0.792,0.7967806841046278,5000.0,0.798042918180218,0.798,0.7979927277381986,10000.0,0.7980429181802179,0.798,0.7979927277381986,10000.0
KNN,0.7185,"[[3678, 1322], [1493, 3507]]",0.7112744150067685,0.7356,0.7232327204797955,5000.0,0.7262373162145371,0.7014,0.7136026045375928,5000.0,0.7187558656106527,0.7185,0.7184176625086942,10000.0,0.7187558656106529,0.7185,0.7184176625086941,10000.0
GradientBoosting,0.8037,"[[4008, 992], [971, 4029]]",0.8049809198634263,0.8016,0.80328690249524,5000.0,0.8024297948615814,0.8058,0.8041113661311247,5000.0,0.8037053573625039,0.8037,0.8036991343131823,10000.0,0.8037053573625038,0.8037,0.8036991343131824,10000.0
XGBoost,0.807,"[[4041, 959], [971, 4029]]",0.8062649640861931,0.8082,0.8072313224131042,5000.0,0.807738572574178,0.8058,0.8067681217460954,5000.0,0.8070017683301856,0.8069999999999999,0.8069997220795998,10000.0,0.8070017683301856,0.807,0.8069997220795998,10000.0
CatBoost,0.8083,"[[4049, 951], [966, 4034]]",0.8073778664007976,0.8098,0.8085871193210185,5000.0,0.8092276830491475,0.8068,0.8080120180270406,5000.0,0.8083027747249725,0.8083,0.8082995686740295,10000.0,0.8083027747249726,0.8083,0.8082995686740295,10000.0
DNN_Keras,0.7992,"[[4004, 996], [1012, 3988]]",0.7982456140350878,0.8008,0.799520766773163,5000.0,0.8001605136436597,0.7976,0.7988782051282052,5000.0,0.7992030638393737,0.7991999999999999,0.7991994859506841,10000.0,0.7992030638393737,0.7992,0.7991994859506841,10000.0
LSTM_Keras,0.7947,"[[3983, 1017], [1036, 3964]]",0.793584379358438,0.7966,0.7950893302724823,5000.0,0.7958241317004617,0.7928,0.7943091874561667,5000.0,0.7947042555294499,0.7947,0.7946992588643245,10000.0,0.7947042555294498,0.7947,0.7946992588643245,10000.0
