number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_fixed_params,state
17,0.83,2025-11-06 23:50:14.303329,2025-11-06 23:50:16.020111,0 days 00:00:01.716782,0.9210124038311636,0.639084261488893,0.7460088554636374,0.3640002264427433,0.026933918169389524,304,1,3,15,943,0.2236732830127453,11.128683316949994,0.7646801838048869,,COMPLETE
48,0.829,2025-11-06 23:51:39.286470,2025-11-06 23:51:41.270984,0 days 00:00:01.984514,0.871828483173245,0.8067378506179144,0.8782788092523248,0.49536799135630916,0.02356500935866276,338,4,3,6,890,0.5464642418229524,14.060529232431005,0.5138982263026048,,COMPLETE
10,0.828,2025-11-06 23:49:52.420519,2025-11-06 23:49:54.829420,0 days 00:00:02.408901,0.9111376006923405,0.8113526169287668,0.7900685645280803,0.38705185623784305,0.022599069527023553,358,3,4,12,975,0.599765397635074,7.6577901498944865,0.5030794686269633,,COMPLETE
27,0.828,2025-11-06 23:50:42.226204,2025-11-06 23:50:44.381500,0 days 00:00:02.155296,0.926332446748375,0.8562093883934132,0.8994119631340372,0.32930332990502253,0.020226993752791442,303,2,3,6,1008,0.5213335841336528,10.849950722594185,0.5273038376180819,,COMPLETE
20,0.828,2025-11-06 23:50:21.028908,2025-11-06 23:50:22.504566,0 days 00:00:01.475658,0.9625753638453611,0.5169612157954635,0.8178766726929959,0.5545268119254297,0.01642755922284916,320,1,2,15,1036,0.35596887759470264,13.083433959133869,0.791902950043108,,COMPLETE
9,0.828,2025-11-06 23:49:49.404334,2025-11-06 23:49:51.689733,0 days 00:00:02.285399,0.8860341794131611,0.7915855181058915,0.7582574702948834,0.3989528930661683,0.023323950745284924,308,1,4,12,960,0.44237266779130013,8.334320598165451,0.6367000926452869,,COMPLETE
23,0.8275,2025-11-06 23:50:29.311834,2025-11-06 23:50:32.141790,0 days 00:00:02.829956,0.8833325678175743,0.8582221603280678,0.7400515378693457,0.314226123604932,0.024243612565688504,227,2,5,13,948,0.49749090522648987,9.278213679250497,0.5583518320581365,,COMPLETE
0,0.827,2025-11-06 23:49:19.100403,2025-11-06 23:49:20.784511,0 days 00:00:01.684108,0.8,0.7,0.7,0.5,0.035,256,1,3,9,900,0.4,10.0,0.7,"{'booster': 'gbtree', 'tree_method': 'hist', 'max_bin': 256, 'learning_rate': 0.035, 'n_estimators': 900, 'max_depth': 3, 'min_child_weight': 9, 'gamma': 0.5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bynode': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.4, 'reg_lambda': 10.0, 'max_delta_step': 1}",COMPLETE
1,0.8265,2025-11-06 23:49:28.572959,2025-11-06 23:49:30.630619,0 days 00:00:02.057660,0.8066910394876151,0.6978577205688217,0.6878950618483477,0.5005488255307521,0.03476852692609299,248,1,3,9,899,0.3879782367216648,10.101285805370015,0.7189071324479795,,COMPLETE
41,0.8265,2025-11-06 23:51:19.536847,2025-11-06 23:51:21.669521,0 days 00:00:02.132674,0.9202337807351552,0.8740596178077351,0.893747868855859,0.3269253303216845,0.020540379858768623,305,1,3,7,1003,0.5204516803645075,10.59884654065265,0.527626440372335,,COMPLETE
26,0.826,2025-11-06 23:50:38.928563,2025-11-06 23:50:41.472335,0 days 00:00:02.543772,0.7575900607872407,0.79072724639617,0.6823481322395012,0.25524309953602575,0.025798546428979635,491,1,4,12,916,0.5656361171915351,9.420332084373573,0.5848489415377721,,COMPLETE
35,0.826,2025-11-06 23:51:02.896742,2025-11-06 23:51:04.577269,0 days 00:00:01.680527,0.8018142443468852,0.528590590276854,0.7706858219820507,0.6550471591472655,0.012464407249146398,236,2,3,9,923,0.2231889044136359,10.37350998944361,0.7971206784972484,,COMPLETE
43,0.826,2025-11-06 23:51:25.794083,2025-11-06 23:51:28.363537,0 days 00:00:02.569454,0.9041548894555669,0.8824719100756997,0.5134404973330368,0.42653984984446064,0.015960514554318052,278,3,4,5,1015,0.5708444507033904,12.508301093973824,0.5299507229296874,,COMPLETE
15,0.826,2025-11-06 23:50:09.438032,2025-11-06 23:50:10.711171,0 days 00:00:01.273139,0.9405490189343315,0.7665140725820534,0.841970302157797,0.4300971708133748,0.04374060249859062,381,4,2,14,842,0.5373458075806263,8.889419728348368,0.6716386623546919,,COMPLETE
42,0.8255,2025-11-06 23:51:22.402431,2025-11-06 23:51:25.073837,0 days 00:00:02.671406,0.880301655405256,0.799895388370917,0.871584383876979,0.3319351040351094,0.025214497384164078,322,2,4,6,971,0.5230122518222181,11.206559916609,0.5065459551260044,,COMPLETE
45,0.8255,2025-11-06 23:51:31.078238,2025-11-06 23:51:33.335620,0 days 00:00:02.257382,0.932739238634548,0.8555244063377648,0.7359287177271789,0.27921000593863443,0.012153536706639413,303,2,3,12,994,0.5952714353277588,14.964431063868602,0.5397170421743301,,COMPLETE
40,0.8255,2025-11-06 23:51:16.608414,2025-11-06 23:51:18.799894,0 days 00:00:02.191480,0.9434177775137621,0.8367699255353823,0.8228001533738049,0.5712979713069237,0.018275465008466347,411,2,3,5,993,0.27343021310091187,12.170592712205409,0.7733404159772269,,COMPLETE
47,0.8255,2025-11-06 23:51:37.400082,2025-11-06 23:51:38.544066,0 days 00:00:01.143984,0.6876410721150595,0.8341359938496176,0.8011947068821332,0.4003968371578644,0.025742423923135804,372,1,2,10,743,0.48997166446572704,9.708333664556385,0.6064708403609336,,COMPLETE
46,0.8255,2025-11-06 23:51:34.080296,2025-11-06 23:51:36.624943,0 days 00:00:02.544647,0.8222985959808353,0.7543684990704321,0.8490844029089726,0.3337629389480449,0.0199786136859381,264,3,4,9,1024,0.43840193969338104,8.428390859949324,0.5763639001623867,,COMPLETE
18,0.825,2025-11-06 23:50:16.746612,2025-11-06 23:50:17.917501,0 days 00:00:01.170889,0.7362829644487112,0.6397271633627091,0.7354418337575523,0.30058415293973256,0.02866295836032223,285,0,2,15,859,0.20726183978972879,11.695661864646713,0.7717083120694559,,COMPLETE
30,0.825,2025-11-06 23:50:51.865164,2025-11-06 23:50:53.372332,0 days 00:00:01.507168,0.9134523517443287,0.7417118562133773,0.808894620153653,0.5427522257861856,0.03323917744873356,163,4,3,10,915,0.4918359040452287,6.295872379998453,0.8885335307911475,,COMPLETE
