number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,state,mean_val_acc,mean_gap,std_val
365,0.836,2025-11-08 15:22:53.956078,2025-11-08 15:22:57.227083,0 days 00:00:03.271005,0.7822917691063431,0.010874333831691955,384,3,36,0.0327176893816233,0.6858164980639117,1700,81,0.00041008489684410106,3.1561452843875986e-06,0.5694054855903892,3,,,,PRUNED,,,
361,0.836,2025-11-08 15:22:37.595555,2025-11-08 15:22:40.803555,0 days 00:00:03.208000,0.5272596507313588,0.013288811314616686,320,3,40,0.028355668873614338,0.5480982051410072,1800,95,4.1873125663830327e-07,4.697559221574442e-07,0.5740405159500506,3,,,,PRUNED,,,
337,0.836,2025-11-08 15:20:17.075623,2025-11-08 15:20:20.556623,0 days 00:00:03.481000,0.5032327463418445,0.012530464641269615,512,3,36,0.09816534011236014,0.7004218880871461,1500,85,4.032907683337579e-08,3.618101632976168e-08,0.5851571658538218,3,,,,PRUNED,,,
331,0.836,2025-11-08 15:19:38.380021,2025-11-08 15:19:42.085032,0 days 00:00:03.705011,0.5065871232811175,0.011636309822338405,320,3,34,0.011599187030639184,0.6624733226597117,1500,138,0.3042081408628715,8.296812497196992e-07,0.5385169254233977,3,,,,PRUNED,,,
330,0.836,2025-11-08 15:19:34.444514,2025-11-08 15:19:37.584022,0 days 00:00:03.139508,0.5271560585092051,0.011094877596083406,320,3,38,0.021411188917540066,0.5270596572275658,1100,96,0.14871345571680167,4.936866910217156e-07,0.561291834776113,3,,,,PRUNED,,,
349,0.8355,2025-11-08 15:21:26.971394,2025-11-08 15:21:30.315912,0 days 00:00:03.344518,0.5117757611033615,0.01056505874583375,320,3,38,0.04549597522604361,0.8586864158749379,1700,144,4.153791457866655e-07,5.917781596901169e-07,0.5329678239215424,3,,,,PRUNED,,,
311,0.8355,2025-11-08 15:17:50.018197,2025-11-08 15:17:53.961195,0 days 00:00:03.942998,0.5409879489126536,0.010000388356858063,384,3,34,0.05370957618490231,0.732816924339619,1700,143,9.599878368366738e-07,3.859157051543807e-08,0.5405505741498937,3,,,,PRUNED,,,
313,0.8355,2025-11-08 15:18:01.116192,2025-11-08 15:18:04.548192,0 days 00:00:03.432000,0.5308776946202562,0.01064066556672257,448,3,39,0.07928500977527346,0.7830749799408122,1700,142,2.934672035817632e-07,2.1904087988180994e-07,0.5753834111410953,7,,,,PRUNED,,,
346,0.8355,2025-11-08 15:21:09.732808,2025-11-08 15:21:13.427367,0 days 00:00:03.694559,0.5344196368124271,0.010930066100389683,512,3,34,0.10053868492708518,0.6701043938045813,1500,147,2.757375766365589e-08,3.7580097548360436e-07,0.5803321408611077,3,,,,PRUNED,,,
307,0.8355,2025-11-08 15:17:25.745158,2025-11-08 15:17:28.420673,0 days 00:00:02.675515,0.5264864687636919,0.01353605941552375,384,3,38,0.08689137841392977,0.7151722238354028,1800,140,5.455415787029643e-07,8.653582996336338e-07,0.5531670932950414,4,,,,PRUNED,,,
375,0.8355,2025-11-08 15:23:52.281886,2025-11-08 15:23:55.094886,0 days 00:00:02.813000,0.5667369483250859,0.013868865384168996,320,3,31,0.07417710403772416,0.43755553164961125,1700,88,3.193514101976106e-07,2.2514364849412193e-07,0.5725066044252469,3,,,,PRUNED,,,
272,0.8355,2025-11-08 15:14:11.397108,2025-11-08 15:14:14.650108,0 days 00:00:03.253000,0.5527391736172095,0.01160796054090094,320,3,41,0.02547670272162601,0.764195608054409,1700,141,3.1795155571087666e-08,1.325313109189674e-07,0.5377187334996641,3,,,,PRUNED,,,
245,0.8355,2025-11-08 15:11:26.830566,2025-11-08 15:11:30.110570,0 days 00:00:03.280004,0.5458628767217233,0.011717523839809398,384,3,33,0.06017706535541826,0.7766752342492179,1700,137,5.890506316430513e-07,1.350036920052765,0.5916737280005657,3,,,,PRUNED,,,
396,0.8355,2025-11-08 15:25:58.645914,2025-11-08 15:26:02.153913,0 days 00:00:03.507999,0.530559115669462,0.010566710443452133,384,3,41,0.0713771524696855,0.5284325799500931,1600,145,0.040629996666172646,5.420689108061628e-07,0.5873391319718507,3,,,,PRUNED,,,
242,0.8355,2025-11-08 15:11:10.100566,2025-11-08 15:11:13.469565,0 days 00:00:03.368999,0.5345920941032578,0.010930970202802068,384,3,41,0.04002752487723834,0.5446592727653435,1800,91,9.839327975729389e-07,1.7826272568319499e-07,0.5866885841170131,3,,,,PRUNED,,,
239,0.8355,2025-11-08 15:10:54.095566,2025-11-08 15:10:57.358566,0 days 00:00:03.263000,0.5283168716230056,0.011142876159974335,384,3,36,0.03511086960863885,0.7820570336794774,1700,125,7.471328743550067e-07,4.0623674807937e-07,0.5432708777426319,3,,,,PRUNED,,,
235,0.8355,2025-11-08 15:10:30.814567,2025-11-08 15:10:34.296565,0 days 00:00:03.481998,0.5374287761202534,0.010661111370136955,384,3,31,0.05105489571673246,0.7942864010221916,1600,144,1.558023590963016e-07,4.163283625671177e-06,0.5990045363925846,3,,,,PRUNED,,,
270,0.8351,2025-11-08 15:13:58.262108,2025-11-08 15:14:04.024107,0 days 00:00:05.761999,0.5468308898366222,0.010588347816152437,320,3,38,0.023634345701591074,0.5246671490855065,1700,82,6.094916923583383e-08,1.956830672390759e-07,0.567942984603419,3,0.026350000000000005,0.8351,0.003512833614050066,COMPLETE,0.8351,0.026350000000000005,0.003512833614050066
321,0.8350000000000002,2025-11-08 15:18:43.609939,2025-11-08 15:18:49.522940,0 days 00:00:05.913001,0.5182097491099589,0.011097373127815528,384,3,34,0.03015691988449465,0.6893008427246842,1600,92,0.0008037536813170489,1.677435345505432e-07,0.5833226348205404,3,0.02662499999999999,0.8350000000000002,0.0030000000000000027,COMPLETE,0.8350000000000002,0.02662499999999999,0.0030000000000000027
289,0.835,2025-11-08 15:15:46.784928,2025-11-08 15:15:48.863926,0 days 00:00:02.078998,0.5153733487524429,0.03214334061744383,320,3,42,0.017079876373079915,0.7071378253448571,1700,148,1.5113406925966792e-07,7.206938334198804e-07,0.5757738125335489,3,,,,PRUNED,,,
314,0.835,2025-11-08 15:18:05.381192,2025-11-08 15:18:09.363194,0 days 00:00:03.982002,0.5451651500821691,0.012909243051887969,384,4,34,0.05411782764022027,0.4835720250759326,1800,139,7.812180902466008e-08,1.50040589680645e-07,0.5903130366949324,3,,,,PRUNED,,,
360,0.835,2025-11-08 15:22:33.308556,2025-11-08 15:22:36.799555,0 days 00:00:03.490999,0.7131243749080315,0.010400095511262631,384,3,35,0.0361779729737107,0.7116665444754475,1600,138,2.1020912010091988e-07,3.929541726662989e-08,0.5821817806452341,3,,,,PRUNED,,,
