number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_gap_penalty,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,system_attrs_tpe:relative_params:0,state,mean_val_acc,mean_gap,std_val,gap_penalty
44,0.8351,2025-11-08 18:33:33.520159,2025-11-08 18:33:36.056161,0 days 00:00:02.536002,0.5519074103253205,0.05107465525092951,320,5,111,0.0747894344623781,0.890577288521924,670,77,0.48750537730428467,0.33765118730479293,0.6983974146118513,1,0.0,0.058499999999999996,0.8351,0.003056141357987236,"{""colsample_bytree"": 0.5519074103253205, ""learning_rate"": 0.05107465525092951, ""max_bin"": 320, ""max_depth"": 5, ""min_child_samples"": 111, ""min_child_weight"": 0.0747894344623781, ""min_split_gain"": 0.890577288521924, ""n_estimators"": 670, ""num_leaves"": 77, ""reg_alpha"": 0.48750537730428467, ""reg_lambda"": 0.33765118730479293, ""subsample"": 0.6983974146118513, ""subsample_freq"": 1}",COMPLETE,0.8351,0.058499999999999996,0.003056141357987236,0.0
10,0.8346,2025-11-08 18:32:06.950155,2025-11-08 18:32:09.044155,0 days 00:00:02.094000,0.632993456509264,0.0395647235279603,384,8,71,0.07329009132085128,0.018452251135860402,720,79,0.0019192001101561876,0.0005572807500029967,0.5093353463335385,4,0.0,0.058925000000000005,0.8346,0.004758150901348138,,COMPLETE,0.8346,0.058925000000000005,0.004758150901348138,0.0
25,0.8345,2025-11-08 18:32:47.486155,2025-11-08 18:32:49.383155,0 days 00:00:01.897000,0.6387198393793013,0.03389721237213204,256,5,73,0.04395266222690937,1.0742523729194002,720,69,0.2778173873023055,0.00964725985833174,0.6344581322039722,2,,,,,"{""colsample_bytree"": 0.6387198393793013, ""learning_rate"": 0.03389721237213204, ""max_bin"": 256, ""max_depth"": 5, ""min_child_samples"": 73, ""min_child_weight"": 0.04395266222690937, ""min_split_gain"": 1.0742523729194002, ""n_estimators"": 720, ""num_leaves"": 69, ""reg_alpha"": 0.2778173873023055, ""reg_lambda"": 0.00964725985833174, ""subsample"": 0.6344581322039722, ""subsample_freq"": 2}",PRUNED,,,,
39,0.8345,2025-11-08 18:33:21.591155,2025-11-08 18:33:23.643157,0 days 00:00:02.052002,0.5369637694071938,0.05498860624759733,320,5,97,0.05550211633521116,0.8025614663991447,670,71,0.8079193895701993,0.07751112960882002,0.6611805055426885,1,0.0,0.05654999999999999,0.8345,0.004110960958218875,"{""colsample_bytree"": 0.5369637694071938, ""learning_rate"": 0.05498860624759733, ""max_bin"": 320, ""max_depth"": 5, ""min_child_samples"": 97, ""min_child_weight"": 0.05550211633521116, ""min_split_gain"": 0.8025614663991447, ""n_estimators"": 670, ""num_leaves"": 71, ""reg_alpha"": 0.8079193895701993, ""reg_lambda"": 0.07751112960882002, ""subsample"": 0.6611805055426885, ""subsample_freq"": 1}",COMPLETE,0.8345,0.05654999999999999,0.004110960958218875,0.0
12,0.8343,2025-11-08 18:32:12.231155,2025-11-08 18:32:13.796154,0 days 00:00:01.564999,0.5189375502013657,0.06213058209974451,512,7,108,0.07984675021160924,0.9995489836549575,720,67,0.35346441441965804,0.1316746532693613,0.6469912192920857,1,0.0,0.0595,0.8343,0.005025932749251627,,COMPLETE,0.8343,0.0595,0.005025932749251627,0.0
8,0.8342,2025-11-08 18:32:00.789155,2025-11-08 18:32:03.028154,0 days 00:00:02.238999,0.6582298831164555,0.029142761564330006,256,6,72,0.03676272002268174,1.0810074734725486,670,69,0.5910698619088539,0.0019625093208439867,0.6187755564762785,2,0.0,0.06252500000000003,0.8342,0.00273130005674955,,COMPLETE,0.8342,0.06252500000000003,0.00273130005674955,0.0
23,0.8342,2025-11-08 18:32:41.914155,2025-11-08 18:32:44.531156,0 days 00:00:02.617001,0.5052378611199339,0.03419944614660542,512,5,71,0.059340896291419885,0.31353440589360576,420,57,0.0001926436037130658,0.0018875676307822291,0.6934316678205237,5,0.0,0.06000000000000001,0.8342,0.002461706725018257,,COMPLETE,0.8342,0.06000000000000001,0.002461706725018257,0.0
46,0.8341,2025-11-08 18:33:38.452159,2025-11-08 18:33:40.824154,0 days 00:00:02.371995,0.5363616555903945,0.04193638869829102,320,5,121,0.0626061745232085,1.0239001738534774,820,89,0.8574411563535811,0.18754177958178841,0.6926339743503631,1,0.0,0.05060000000000002,0.8341,0.004576024475459034,"{""colsample_bytree"": 0.5363616555903945, ""learning_rate"": 0.04193638869829102, ""max_bin"": 320, ""max_depth"": 5, ""min_child_samples"": 121, ""min_child_weight"": 0.0626061745232085, ""min_split_gain"": 1.0239001738534774, ""n_estimators"": 820, ""num_leaves"": 89, ""reg_alpha"": 0.8574411563535811, ""reg_lambda"": 0.18754177958178841, ""subsample"": 0.6926339743503631, ""subsample_freq"": 1}",COMPLETE,0.8341,0.05060000000000002,0.004576024475459034,0.0
43,0.834,2025-11-08 18:33:31.908155,2025-11-08 18:33:32.701157,0 days 00:00:00.793002,0.5061723699612714,0.0425004532348121,320,6,80,0.06661247194075545,0.5873430291406866,770,77,0.9252440023808933,0.13406549057883793,0.619681713285147,1,,,,,"{""colsample_bytree"": 0.5061723699612714, ""learning_rate"": 0.0425004532348121, ""max_bin"": 320, ""max_depth"": 6, ""min_child_samples"": 80, ""min_child_weight"": 0.06661247194075545, ""min_split_gain"": 0.5873430291406866, ""n_estimators"": 770, ""num_leaves"": 77, ""reg_alpha"": 0.9252440023808933, ""reg_lambda"": 0.13406549057883793, ""subsample"": 0.619681713285147, ""subsample_freq"": 1}",PRUNED,,,,
27,0.834,2025-11-08 18:32:52.792155,2025-11-08 18:32:53.536155,0 days 00:00:00.744000,0.681521786326472,0.04549135946855008,384,8,90,0.06633891182142514,0.056896858589178465,620,81,0.0026111463446206193,0.0016650868877361984,0.5175911690836861,4,,,,,"{""colsample_bytree"": 0.681521786326472, ""learning_rate"": 0.04549135946855008, ""max_bin"": 384, ""max_depth"": 8, ""min_child_samples"": 90, ""min_child_weight"": 0.06633891182142514, ""min_split_gain"": 0.056896858589178465, ""n_estimators"": 620, ""num_leaves"": 81, ""reg_alpha"": 0.0026111463446206193, ""reg_lambda"": 0.0016650868877361984, ""subsample"": 0.5175911690836861, ""subsample_freq"": 4}",PRUNED,,,,
