number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.81775,2025-11-05 18:39:22.170692,2025-11-05 18:39:35.784224,0 days 00:00:13.613532,0.5261376254756898,0.7800932022121826,0.06359848890377333,2,5,31,400,2.5985284373248057,10.502105436744278,1.0123506965774816,0.6545980821176709,COMPLETE
1,0.8234999999999999,2025-11-05 18:39:36.526427,2025-11-05 18:39:56.312828,0 days 00:00:19.786401,0.7361403942345071,0.9170225492671691,0.05052375775428282,1,3,11,800,1.2958350559263474,3.124565071260871,1.0836963163912252,0.7064847850358382,COMPLETE
2,0.8168749999999999,2025-11-05 18:39:56.990516,2025-11-05 18:40:07.649171,0 days 00:00:10.658655,0.766586555987919,0.9983689107917987,0.02039913141169976,0,4,40,350,0.13935123815999317,10.769622478263129,1.0390309557911677,0.779982053444764,COMPLETE
3,0.8161249999999999,2025-11-05 18:40:08.328269,2025-11-05 18:40:37.617758,0 days 00:00:29.289489,0.6980686221828205,0.48836057003191935,0.06547171821419809,0,6,17,800,0.3661147045343365,6.938901412739395,1.5455922412472693,0.8394815592792548,COMPLETE
4,0.818875,2025-11-05 18:40:38.304899,2025-11-05 18:40:49.233000,0 days 00:00:10.928101,0.9363130824940513,2.7335513967163982,0.03629913566456407,2,4,27,350,2.3253984700833437,39.46212980759094,1.358739987286651,0.6646990594339345,COMPLETE
5,0.8182500000000001,2025-11-05 18:40:49.908874,2025-11-05 18:41:09.477483,0 days 00:00:19.568609,0.6221070642982531,1.6266516538163218,0.01187913560603035,0,3,5,750,2.486212527455788,4.037506188440754,1.3256176498949492,0.7360370513913187,COMPLETE
6,0.8158750000000001,2025-11-05 18:41:10.186691,2025-11-05 18:41:17.132021,0 days 00:00:06.945330,0.5024849527056211,3.861223846483287,0.04763597911062358,2,3,50,250,2.4463842853645024,15.882886211970037,1.4627622080115676,0.6695504885369603,PRUNED
7,0.805,2025-11-05 18:41:17.807942,2025-11-05 18:41:23.858791,0 days 00:00:06.050849,0.5286012576287107,3.1164906341377896,0.020088091810436522,2,3,44,200,0.9329469651469866,3.568426123255423,1.3825344828131279,0.7158143086984272,PRUNED
8,0.8223749999999999,2025-11-05 18:41:24.555857,2025-11-05 18:41:43.289369,0 days 00:00:18.733512,0.8469352309795524,3.803925243084487,0.025065011471917552,1,3,37,750,1.4813867890931722,7.728716861851782,1.015251476046457,0.7964470191493236,COMPLETE
9,0.8071249999999999,2025-11-05 18:41:43.974454,2025-11-05 18:41:53.559226,0 days 00:00:09.584772,0.6121815031169937,2.542853455823514,0.010630672603111829,0,5,18,250,1.2311487691068892,19.215811115723024,1.0461879458972758,0.9176482658741325,PRUNED
10,0.8227499999999999,2025-11-05 18:41:54.246256,2025-11-05 18:42:12.853463,0 days 00:00:18.607207,0.7944694352468389,1.6580875722378827,0.039011608427088854,1,4,3,600,1.872250581517096,1.2269543528915194,1.1684565725438225,0.6135538199864141,COMPLETE
11,0.82325,2025-11-05 18:42:13.543329,2025-11-05 18:42:31.866709,0 days 00:00:18.323380,0.789605526730663,1.6218852296578632,0.037919502438814326,1,4,3,600,1.970111120874791,1.0161585313483692,1.1772638154240742,0.6067878644192174,COMPLETE
12,0.82175,2025-11-05 18:42:32.557919,2025-11-05 18:42:50.024069,0 days 00:00:17.466150,0.7039025086325486,0.06188447958297982,0.04568767757150231,1,4,14,600,1.8750540347209468,1.0082292872513026,1.1831778940493767,0.6040406682934689,COMPLETE
