feature,shap_importance,importance,shap_norm,lgbm_norm,diff
p2_tl_unique_pokemon_seen,0.44990760577032113,247,0.04700069512753544,0.011260542511967175,0.03574015261556827
tl_p2_inflicted_slp_count,0.24430131084550546,101,0.025521532161358097,0.0046045133348529745,0.020917018826505124
tl_damage_rate_diff,0.26173823192669177,200,0.027343122641689102,0.009117848187827673,0.018225274453861427
p2_late_game_hp_avg,0.051179266463975095,511,0.005346566870781433,0.023296102119899704,0.01794953524911827
tl_weighted_damage_diff,0.36972135386617566,465,0.038623842789790155,0.02119899703669934,0.017424845753090817
tl_p1_est_damage,0.07694873627502588,446,0.008038637372931907,0.02033280145885571,0.012294164085923804
p1_momentum_intercept,0.04766108596993097,369,0.004979031566458026,0.016822429906542057,0.01184339834008403
tl_last5_damage_ratio_diff,0.06096235768676774,389,0.006368581351243628,0.017734214725324823,0.011365633374081195
damage_diff,0.2528363935517664,347,0.026413170388896887,0.015819466605881013,0.010593703783015874
p2_tl_switches_count,0.14639475770190924,104,0.015293485344031832,0.00474128105767039,0.01055220428636144
tl_inflicted_par_diff,0.2005120585995508,229,0.020946981146264698,0.010439936175062685,0.010507044971202013
p1_advantage_range,0.05572479276818294,351,0.005821426360325895,0.016001823569637565,0.01018039720931167
tl_inflicted_slp_diff,0.1385450684874969,97,0.014473448418937386,0.004422156371096421,0.010051292047840965
tl_p1_moves,0.20890807648688678,277,0.021824091628387703,0.012628219740141326,0.009195871888246377
tl_p1_last5_damage_ratio,0.051883819607592814,316,0.00542016973296827,0.014406200136767723,0.008986030403799453
p1_max_advantage,0.05016486263093205,305,0.0052405947007590405,0.013904718486437201,0.00866412378567816
p1_stat_product_advantage,0.05334420164549239,310,0.005572732103669972,0.014132664691132892,0.00855993258746292
p1_min_advantage,0.046013111553674976,292,0.0048068719005110415,0.013312058354228402,0.00850518645371736
team_spa_mean_minus_p2spa,0.06266303724471392,320,0.006546246988337717,0.014588557100524277,0.008042310112186559
p2_tl_switch_rate,0.09228533693502577,37,0.009640812758874148,0.0016868019147481194,0.007954010844126029
p1_early_pressure,0.06613458933866445,326,0.00690891114314292,0.014862092546159106,0.007953181403016187
p1_advantage_volatility,0.0725029534360955,337,0.00757419782771011,0.015363574196489628,0.007789376368779518
late_game_hp_advantage,0.10891800837263783,410,0.01137838533904243,0.018691588785046728,0.007313203446004297
lead_diff_base_hp,0.10985564205041318,97,0.011476337527592285,0.004422156371096421,0.0070541811564958645
p1_final_advantage,0.05383614232033156,278,0.005624123885854588,0.012673808981080465,0.0070496850952258775
tl_inflicted_frz_diff,0.09177433949998565,61,0.00958743016576561,0.00278094369728744,0.00680648646847817
p1_offense_advantage,0.059295543515714866,284,0.00619445354437142,0.012947344426715295,0.006752890882343874
p1_base_atk_std,0.031832441826036374,221,0.003325453658132487,0.010075222247549578,0.006749768589417091
early_pressure_diff,0.11816093821424799,418,0.012343970543646623,0.019056302712559835,0.006712332168913211
tl_inflicted_par_rate_diff,0.09813392671382372,78,0.010251799951786003,0.0035559607932527924,0.006695839158533211
p1_late_game_hp_avg,0.13862119560287794,456,0.014481401223680123,0.020788693868247093,0.00630729264456697
p1_momentum_slope,0.07968755574413444,317,0.008324754827329077,0.014451789377706862,0.006127034550377785
tl_p2_inflicted_slp_rate,0.07441825545823942,38,0.007774284523879221,0.0017323911556872578,0.006041893368191963
tl_p1_damage_last5,0.06404879935893698,277,0.006691014006753353,0.012628219740141326,0.005937205733387973
p1_base_spe_std,0.14795047748396364,210,0.015456007404655858,0.009573740597219056,0.005882266807436802
tl_move_type_ice_count_diff,0.03333923135624632,205,0.0034828641006821376,0.009345794392523364,0.005862930291841226
tl_p2_last_hp,0.1318280574036935,428,0.013771739476770075,0.01951219512195122,0.005740455645181145
tl_p1_damage_per_turn,0.026533362528674546,184,0.0027718724176342235,0.008388420332801459,0.005616547915167235
tl_p2_inflicted_par_count,0.08929560376217768,82,0.009328482992567758,0.003738317757009346,0.005590165235558412
tl_p2_moves,0.10828771127803209,131,0.011312539816087526,0.005972190563027125,0.0053403492530604
tl_p2_damage_vs_p1_hp_pool,0.1149302091203519,377,0.012006464550784197,0.017187143834055164,0.005180679283270966
tl_p2_move_type_psychic_count,0.11031121258579653,149,0.011523929814470788,0.0067927968999316165,0.004731132914539172
tl_p1_moves_rate,0.08906713109749634,104,0.009304615038525777,0.00474128105767039,0.004563333980855387
p1_avg_stat_product,0.07217714437894746,258,0.0075401613900762405,0.011762024162297697,0.004221862772221457
tl_move_type_grass_count_diff,0.07812783926047559,89,0.008161815241526064,0.004057442443583315,0.004104372797942749
tl_p1_inflicted_frz_count,0.05251356959652965,33,0.005485958101195366,0.001504444950991566,0.0039815131502038
tl_p2_moves_rate,0.05959576532386328,51,0.006225816947644546,0.0023250512878960567,0.003900765659748489
momentum_swings,0.06168235360498539,56,0.006443797480535946,0.002552997492591748,0.003890799987944198
tl_p1_move_type_fighting_count,0.0632623088214303,60,0.006608851354911202,0.0027353544563483018,0.0038734968985629
tl_p2_inflicted_frz_count,0.04595503069555128,25,0.004800804342038134,0.0011397310234784591,0.0036610733185596742
p2_early_pressure,0.11420525447060875,341,0.011930730395511301,0.015545931160246182,0.0036152007647348803
tl_move_type_electric_count_diff,0.034331560336763454,155,0.0035865301674063215,0.007066332345566446,0.0034798021781601244
